ADDR_PCT_CD,total_weight,total_incidents,Latitude,Longitude,PCA1,PCA2,KMeans_Cluster,DBSCAN_Cluster,GMM_Cluster,CLUSTER_MEAN_WEIGHT,SAFETY_SCORE_0_100,KMEANS_SAFETY_LABEL
1.0,140688,26759,40.71153877820539,-74.00206788432924,0.6028726408646986,-0.02720605566946393,2,0,2,118355.14705882352,61.508994100852746,Moderate
5.0,76517,14409,40.71802378235419,-73.99653641618809,-1.2887840661148522,-0.050531278018616364,1,0,1,72680.80769230769,100.0,Safest
6.0,119747,21384,40.73334345763512,-74.00035903217234,-0.11869657116505584,-0.1390803958779102,2,0,2,118355.14705882352,61.508994100852746,Moderate
7.0,97959,18962,40.716715559112124,-73.98598209723693,-0.6236509327485565,-0.009679575414581112,2,0,1,118355.14705882352,61.508994100852746,Moderate
9.0,111507,20644,40.72649418471514,-73.98404752873336,-0.296021838407604,-0.07649898512955156,2,0,2,118355.14705882352,61.508994100852746,Moderate
10.0,78125,14739,40.74901900051117,-74.00013014010877,-1.2397909172649817,-0.04835486924269957,1,0,1,72680.80769230769,100.0,Safest
13.0,132181,24877,40.73953749514339,-73.98676849849684,0.3331216954408754,-0.04927664797816047,2,0,2,118355.14705882352,61.508994100852746,Moderate
14.0,230386,41267,40.75256672517167,-73.98833629627303,3.0334461696910275,-0.20817976014754752,0,0,0,191343.17647058822,0.0,Riskiest
17.0,74031,14032,40.75225519729463,-73.97188145125463,-1.3542025435831397,-0.0435701436561524,1,0,1,72680.80769230769,100.0,Safest
18.0,150568,28337,40.76253401367243,-73.9837697179563,0.8690419486121111,-0.04869184240629398,2,0,0,118355.14705882352,61.508994100852746,Moderate
19.0,164105,30524,40.77311206283377,-73.95659261827065,1.235663375615486,-0.07619865568967929,0,0,0,191343.17647058822,0.0,Riskiest
20.0,79314,14900,40.778298009879286,-73.98123176258419,-1.209999845410766,-0.053181399346152444,1,0,1,72680.80769230769,100.0,Safest
22.0,5227,987,40.780580632922,-73.96714181993761,-3.367186983632137,-0.053333822481077306,1,0,1,72680.80769230769,100.0,Safest
23.0,105867,20884,40.79153300112702,-73.94499367471556,-0.3595187110017345,0.024212111192424147,2,0,2,118355.14705882352,61.508994100852746,Moderate
24.0,91071,17440,40.79516849548349,-73.96877714884084,-0.8419227084549378,-0.02740800184895188,1,0,1,72680.80769230769,100.0,Safest
25.0,141646,25939,40.80137212503225,-73.9369221504953,0.5532443733989231,-0.10472638594049294,2,0,2,118355.14705882352,61.508994100852746,Moderate
26.0,56281,10649,40.81244945679711,-73.95763477852547,-1.874879923169704,-0.047458259366673486,1,0,1,72680.80769230769,100.0,Safest
28.0,96076,18202,40.805181599694116,-73.95017093937102,-0.7099851208024878,-0.041190429165493196,1,0,1,72680.80769230769,100.0,Safest
30.0,78723,15349,40.825289122984266,-73.94906461594205,-1.1837924897339096,-0.009767144798831682,1,0,1,72680.80769230769,100.0,Safest
32.0,111903,21665,40.819026842342076,-73.94140173232202,-0.21109933550823945,-0.0031059779200412036,2,0,1,118355.14705882352,61.508994100852746,Moderate
33.0,91311,17394,40.84091488399696,-73.93958759445066,-0.8419952849895065,-0.03446815152888683,1,0,1,72680.80769230769,100.0,Safest
34.0,113525,21572,40.8583737248841,-73.92816056852868,-0.1946974171017928,-0.0339284080210279,2,0,2,118355.14705882352,61.508994100852746,Moderate
40.0,224572,42423,40.81361615377443,-73.91725301875314,3.038433445445673,-0.033918524946405466,0,0,0,191343.17647058822,0.0,Riskiest
41.0,112250,20961,40.81879003153179,-73.89296794153837,-0.2606287638894081,-0.0627382724738852,2,0,2,118355.14705882352,61.508994100852746,Moderate
42.0,166189,32428,40.83111748207453,-73.89988145823065,1.4136175098087371,0.041080051691308545,0,0,0,191343.17647058822,0.0,Riskiest
43.0,216907,41343,40.827531637291116,-73.86494206811797,2.843118633392954,-0.006067719668990408,0,0,0,191343.17647058822,0.0,Riskiest
44.0,223620,41913,40.83406341735404,-73.91979795843865,2.9850346459965276,-0.05959995091893153,0,0,0,191343.17647058822,0.0,Riskiest
45.0,109923,21741,40.84325278059931,-73.82893273727426,-0.23403082264263297,0.031610013394836614,2,0,2,118355.14705882352,61.508994100852746,Moderate
46.0,179929,35126,40.85308276280968,-73.90700982960634,1.822811740298442,0.05023571960879726,0,0,0,191343.17647058822,0.0,Riskiest
47.0,192572,37351,40.885519348851396,-73.85305454147573,2.179364938363694,0.038689387353777784,0,0,0,191343.17647058822,0.0,Riskiest
48.0,151989,29190,40.84920268867807,-73.88867851783127,0.9558608533608974,-0.003245193655696911,2,0,0,118355.14705882352,61.508994100852746,Moderate
49.0,123953,24065,40.85762605108462,-73.85892951997495,0.15038898396778452,0.007547939882387264,2,0,2,118355.14705882352,61.508994100852746,Moderate
50.0,93472,18169,40.88267803037406,-73.90389181648027,-0.7504511829973889,-0.005841322733170862,1,0,1,72680.80769230769,100.0,Safest
52.0,182127,34125,40.86923179563928,-73.8917840450803,1.7772018399274876,-0.05936870481846938,0,0,0,191343.17647058822,0.0,Riskiest
60.0,109078,21304,40.57935932595772,-73.98067806018703,-0.28021231238618044,0.010030604100599283,2,0,1,118355.14705882352,61.508994100852746,Moderate
61.0,102224,19463,40.59615178441161,-73.9518514446123,-0.5227210878472287,-0.032924728284032055,2,0,1,118355.14705882352,61.508994100852746,Moderate
62.0,109831,22197,40.60730549290784,-73.99295698510706,-0.20001659495404187,0.06830281078915144,2,0,2,118355.14705882352,61.508994100852746,Moderate
