Type of House,Property Value,bed,bath,Area (Sqft),Latitude,Longitude,Number_of_Parks_Nearby,Number_of_Malls_Nearby,Number_of_Metros_Nearby,Number_of_Clubs_Nearby,Number_of_Restaurants_Nearby,Number_of_Schools_Nearby,Number_of_Colleges_Nearby,Number_of_Universities_Nearby,Number_of_Buses_Nearby,Number_of_Trains_Nearby,Number_of_Airports_Nearby,Number_of_Museums_Nearby,Number_of_Libraries_Nearby,Number_of_Grocery_stores_Nearby,borough,Zip Code,total lot size(sqft),Distance_to_Nearest_Parks_miles_binned,Distance_to_Nearest_Malls_miles_binned,Distance_to_Nearest_Metros_miles_binned,Distance_to_Nearest_Clubs_miles_binned,Distance_to_Nearest_Restaurants_miles_binned,Distance_to_Nearest_Schools_miles_binned,Distance_to_Nearest_Colleges_miles_binned,Distance_to_Nearest_Universities_miles_binned,Distance_to_Nearest_Buses_miles_binned,Distance_to_Nearest_Trains_miles_binned,Distance_to_Nearest_Airports_miles_binned,Distance_to_Nearest_Museums_miles_binned,Distance_to_Nearest_Libraries_miles_binned,Distance_to_Nearest_Grocery_stores_miles_binned,Precinct,Safety_Score
Contingent,1348000.0,5,3,2535.0,40.8475481,-73.7908865,8,0,5,0,33,15,0,0,228,5,1,2,3,8,Bronx,10464,2535.0,0–1 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,1–2 miles,1–2 miles,2–3 miles,0–1 miles,45.0,62.766447838413015
Pending,2950000.0,4,3.5,2457.0,40.8952933,-73.9054624,32,1,32,1,113,98,0,0,423,45,0,2,3,38,Bronx,10471,3456.0,0–1 miles,1–2 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,50.0,69.5065204120069
Multi-family home for sale,1399000.0,6,6,4073.0,40.813524,-73.802218,13,0,6,0,56,34,0,0,360,6,1,1,5,6,Bronx,10465,3149.0,0–1 miles,4+ miles,2–3 miles,4+ miles,1–2 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,2–3 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,45.0,62.766447838413015
Condo for sale,945000.0,1,1,891.0,40.7060214,-74.0117866,17,1,106,31,2363,159,9,14,1064,117,1,38,16,159,Manhattan,10004,12196.8,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Condo for sale,945000.0,1,1,891.0,40.7060214,-74.0117866,17,1,106,31,2362,159,9,14,1069,117,1,38,16,159,Manhattan,10004,12196.8,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
House for sale,1300000.0,3,1.5,1549.5,40.7374479,-73.9252988,9,0,78,38,1912,137,4,2,1720,82,1,10,12,201,Queens,11104,2200.0,2–3 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,108.0,62.766447838413015
Multi-family home for sale,875000.0,5,2.5,1632.0,40.6467464,-73.926462,24,0,63,5,281,110,1,0,1604,65,0,4,4,72,Brooklyn,11203,1920.0,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,67.0,45.17588226889556
House for sale,659000.0,3,2.5,1400.0,40.8978696,-73.8662827,34,1,27,0,89,103,1,0,563,39,0,0,3,35,Bronx,10470,1400.0,0–1 miles,2–3 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,47.0,35.425132161737395
House for sale,840000.0,4,2,1296.0,40.7303157,-73.7214015,11,0,0,2,173,24,0,0,734,9,0,0,3,31,Queens,11426,4000.0,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,105.0,45.17588226889556
House for sale,1093000.0,4,2.5,2812.0,40.5306728,-74.1679997,1,0,7,0,88,2,0,0,196,7,0,1,0,8,Staten Island,10312,6000.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,1–2 miles,123.0,85.32013501928847
Co-op for sale,6500000.0,2,2.5,2400.0,40.7385938,-73.9863188,21,3,138,40,3244,192,14,23,1550,151,1,49,29,209,Manhattan,10010,2500.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,13.0,55.3387983997714
House for sale,2399000.0,4,3.5,5400.0,40.5896492,-74.1082133,2,0,6,1,149,15,0,1,494,6,0,3,1,21,Staten Island,10304,12632.4,1–2 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,120.0,55.3387983997714
Multi-family home for sale,1378000.0,8,5,2807.0,40.6897703,-73.7612713,18,0,7,5,192,28,0,0,1167,19,0,0,2,58,Queens,11412,5000.0,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,113.0,55.3387983997714
Multi-family home for sale,779000.0,3,1.5,2027.0,40.6275966,-74.1530947,4,0,0,2,96,25,0,0,362,2,0,7,0,12,Staten Island,10303,2850.0,2–3 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,2–3 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,121.0,62.766447838413015
Co-op for sale,102000.0,1,1,735.0,40.8652278,-73.9079607,40,1,60,5,189,146,1,0,856,71,0,7,8,56,Bronx,10468,735.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,52.0,35.425132161737395
Townhouse for sale,898000.0,7,4,2000.0,40.6507846,-73.9135439,26,0,61,7,248,91,1,0,1538,63,0,2,3,58,Brooklyn,11236,2000.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,69.0,75.10102633709577
House for sale,880000.0,6,3.5,3300.0,40.8897471,-73.8619041,32,1,30,1,126,107,1,0,613,41,0,0,4,44,Bronx,10466,5715.0,0–1 miles,2–3 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,47.0,35.425132161737395
Townhouse for sale,6668000.0,5,3.5,6425.0,40.6703847,-73.9743825,17,0,89,14,1024,178,3,0,1534,91,0,14,7,146,Brooklyn,11215,2100.0,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,78.0,75.10102633709577
Townhouse for sale,4825000.0,4,5,4020.0,40.7552841,-73.9699168,17,3,126,41,3360,181,12,21,1581,132,1,42,25,222,Manhattan,10022,4020.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
House for sale,819000.0,3,1.5,1372.0,40.6163859,-73.9328707,13,0,35,2,198,91,1,0,1197,35,1,3,2,56,Brooklyn,11234,13780.0,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,1–2 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,63.0,69.5065204120069
House for sale,799888.0,5,3.5,1958.0,40.667526,-73.7304358,11,0,0,3,136,24,0,0,678,12,0,0,1,22,Queens,11422,4600.0,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,116.0,
Co-op for sale,154000.0,1,1,750.0,40.9060434,-73.9056951,28,1,22,0,69,71,0,0,307,34,0,2,3,26,Bronx,10471,750.0,0–1 miles,1–2 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,50.0,69.5065204120069
Co-op for sale,5000000.0,2,2.5,1922.5,40.7731258,-73.9787544,15,3,105,20,2469,176,13,16,1491,114,1,29,24,184,Manhattan,10023,7500.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Condo for sale,235000.0,1,1,640.0,40.8377326,-73.8617976,41,0,47,3,147,159,0,0,1013,52,1,1,4,49,Bronx,10462,640.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,3–4 miles,0–1 miles,0–1 miles,43.0,21.901610944420632
Pending,949999.0,7,2,3507.0,40.8293286,-73.9002279,48,0,77,7,322,229,3,1,1163,85,0,11,9,77,Bronx,10456,1942.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,42.0,45.17588226889556
Condo for sale,2795000.0,4,3,2410.0,40.7216778,-73.9831478,27,2,156,42,3261,182,14,20,1540,167,1,46,19,211,Manhattan,10009,3180.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,9.0,62.766447838413015
House for sale,1550000.0,6,3,3120.0,40.6202922,-73.9089078,16,0,18,2,73,57,1,0,916,18,1,1,2,25,Brooklyn,11234,5507.0,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,4+ miles,0–1 miles,1–2 miles,1–2 miles,2–3 miles,1–2 miles,0–1 miles,63.0,69.5065204120069
House for sale,769000.0,3,2,980.0,40.6093624,-73.9331407,10,0,35,2,200,72,1,0,1065,35,1,3,2,45,Brooklyn,11234,1800.0,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,1–2 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,63.0,69.5065204120069
House for sale,4195000.0,7,4.5,6425.0,40.7194632,-73.7840367,21,0,11,5,345,35,1,0,1439,22,0,1,3,83,Queens,11432,8260.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,103.0,45.17588226889556
Co-op for sale,309000.0,2,1,925.0,40.8855734,-73.9086974,34,1,38,2,156,105,0,0,557,49,0,2,5,46,Bronx,10463,925.0,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,50.0,69.5065204120069
House for sale,1175000.0,2,2,1000.0,40.7373681,-73.9804089,23,3,145,40,3291,194,14,23,1531,153,1,49,29,215,Manhattan,10010,1000.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,13.0,55.3387983997714
House for sale,1175000.0,2,2,1000.0,40.7373681,-73.9804089,23,3,145,40,3292,194,14,23,1536,153,1,49,29,216,Manhattan,10010,1000.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,13.0,55.3387983997714
House for sale,749000.0,3,2,1000.0,40.5399414,-74.1463492,2,0,8,0,105,4,0,0,231,8,0,0,1,10,Staten Island,10308,6750.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,2–3 miles,0–1 miles,123.0,85.32013501928847
House for sale,999000.0,3,3,1800.0,40.7854175,-73.7955209,11,2,1,1,171,22,0,0,602,8,0,1,4,27,Queens,11357,2601.0,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,1–2 miles,1–2 miles,109.0,35.425132161737395
Pending,989000.0,4,2.5,2310.0,40.6084225,-73.9083145,11,0,10,1,95,44,1,0,748,10,1,1,1,20,Brooklyn,11234,4000.0,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,1–2 miles,2–3 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,63.0,69.5065204120069
Co-op for sale,525000.0,Studio,1,550.0,40.738619,-74.0074603,20,3,119,37,2995,154,14,22,1480,135,1,41,27,176,Manhattan,10014,550.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,6.0,62.766447838413015
Co-op for sale,525000.0,Studio,1,550.0,40.738619,-74.0074603,20,3,119,37,2996,154,14,22,1485,135,1,41,27,177,Manhattan,10014,550.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,6.0,62.766447838413015
Townhouse for sale,2699999.0,4,3,2457.0,40.6775658,-73.9926305,19,0,103,10,1468,167,5,0,1274,105,0,23,12,149,Brooklyn,11231,13780.0,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,76.0,85.32013501928847
Townhouse for sale,2699999.0,4,3,2457.0,40.6775658,-73.9926305,19,0,103,10,1467,167,5,0,1274,105,0,23,12,149,Brooklyn,11231,13780.0,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,76.0,85.32013501928847
Pending,950000.0,5,3.5,3936.0,40.6297365,-73.9034213,23,0,23,2,47,61,0,0,1014,23,1,1,3,24,Brooklyn,11236,2400.0,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,1–2 miles,2–3 miles,1–2 miles,0–1 miles,69.0,75.10102633709577
Multi-family home for sale,1198000.0,6,2,2023.0,40.5966663,-73.9463378,4,0,35,1,236,67,1,0,996,35,1,1,3,52,Brooklyn,11229,2800.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,1–2 miles,0–1 miles,61.0,62.766447838413015
Multi-family home for sale,1198000.0,6,2,2023.0,40.5966663,-73.9463378,4,0,35,1,234,67,1,0,996,35,1,1,3,52,Brooklyn,11229,2800.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,1–2 miles,0–1 miles,61.0,62.766447838413015
Contingent,579888.0,3,1.5,1144.0,40.5050328,-74.2395477,6,0,5,0,51,15,0,0,157,7,0,1,0,5,Staten Island,10307,1377.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,123.0,85.32013501928847
Contingent,699999.0,3,1,1200.0,40.5369332,-74.1591231,1,0,7,0,91,3,0,0,211,7,0,1,0,9,Staten Island,10312,5800.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,3–4 miles,4+ miles,0–1 miles,123.0,85.32013501928847
Co-op for sale,895000.0,2,1,790.0,40.726565,-74.0014443,19,3,131,38,3144,172,13,20,1402,147,1,44,19,188,Manhattan,10012,790.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Co-op for sale,345000.0,2,1,861.0,40.6123545,-73.9562264,5,0,53,2,327,95,1,0,1336,53,1,2,3,75,Brooklyn,11230,861.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,1–2 miles,0–1 miles,70.0,55.3387983997714
Co-op for sale,650000.0,1,1,650.0,40.7137564,-73.9777734,28,2,152,47,2984,182,14,20,1557,162,1,43,17,206,Manhattan,10002,8568.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,7.0,69.5065204120069
Co-op for sale,260000.0,1,1,816.0,40.7396699,-73.8455199,13,2,27,5,712,37,1,0,1365,34,0,1,4,115,Queens,11375,816.0,1–2 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
House for sale,429000.0,2,1,950.0,40.8575029,-73.7899046,8,0,7,0,38,14,0,0,237,7,1,1,2,9,Bronx,10464,950.0,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,2–3 miles,1–2 miles,1–2 miles,3–4 miles,0–1 miles,45.0,62.766447838413015
Condo for sale,3500000.0,4,3.5,2227.0,40.7620381,-73.9808958,16,3,115,34,3001,172,12,21,1532,123,1,40,25,193,Manhattan,10019,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Co-op for sale,379000.0,1,1,1000.0,40.7801644,-73.9527366,17,2,101,18,2159,191,9,10,1487,106,0,20,20,178,Manhattan,10128,2525.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,19.0,45.17588226889556
Multi-family home for sale,1300000.0,8,5,3270.0,40.6391126,-73.9509269,13,0,68,4,529,139,2,0,1650,69,0,4,3,107,Brooklyn,11226,2050.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,67.0,45.17588226889556
House for sale,587000.0,2,1.5,1100.0,40.8444744,-73.7878677,9,0,4,0,31,13,0,0,198,4,1,2,3,7,Bronx,10464,1260.0,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,2–3 miles,1–2 miles,2–3 miles,2–3 miles,0–1 miles,45.0,62.766447838413015
Co-op for sale,339000.0,Studio,1,376.0,40.7414885,-73.9793701,21,3,140,40,3388,193,14,23,1550,147,1,48,27,216,Manhattan,10016,6320.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,339000.0,Studio,1,376.0,40.7414885,-73.9793701,21,3,140,40,3389,193,14,23,1555,147,1,48,27,217,Manhattan,10016,6320.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,899999.0,3,2,1547.0,40.8355272,-73.945174,36,0,69,5,511,201,4,1,986,75,0,13,10,93,Manhattan,10032,1547.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,33.0,69.5065204120069
Condo for sale,899999.0,3,2,1547.0,40.8355272,-73.945174,36,0,69,5,512,201,4,1,986,75,0,13,10,93,Manhattan,10032,1547.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,33.0,69.5065204120069
Pending,279000.0,4,1.5,2457.0,40.6371363,-73.945991,16,0,63,4,389,137,2,0,1563,64,0,4,3,93,Brooklyn,11203,4100.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,67.0,45.17588226889556
Co-op for sale,340000.0,Studio,1,600.0,40.7484484,-73.9706936,19,3,130,41,3446,192,13,21,1592,136,1,43,24,220,Manhattan,10017,11761.2,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,340000.0,Studio,1,600.0,40.7484484,-73.9706936,19,3,130,41,3447,192,13,21,1597,136,1,43,24,221,Manhattan,10017,11761.2,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,409000.0,1,1,750.0,40.775689,-73.95517,18,2,103,22,2306,187,10,11,1533,109,1,24,21,194,Manhattan,10028,2652.0,1–2 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,409000.0,1,1,750.0,40.775689,-73.95517,18,2,103,22,2307,187,10,11,1533,109,1,24,21,195,Manhattan,10028,2652.0,1–2 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,799000.0,2,1,900.0,40.7904025,-73.9788204,12,2,74,9,1699,169,7,9,1267,81,0,18,22,131,Manhattan,10024,900.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Condo for sale,409900.0,1,1,782.0,40.8778582,-73.9188858,32,1,42,2,171,106,0,0,579,51,0,3,6,44,Bronx,10463,782.0,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,50.0,69.5065204120069
Condo for sale,409900.0,1,1,782.0,40.8778582,-73.9188858,32,1,42,2,172,106,0,0,579,51,0,3,6,44,Bronx,10463,782.0,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,50.0,69.5065204120069
Multi-family home for sale,888000.0,7,3,1040.0,40.6650634,-73.8881211,26,1,58,6,315,82,0,0,1367,60,0,0,3,58,Brooklyn,11207,2080.0,0–1 miles,1–2 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,75.0,0.0
Co-op for sale,330000.0,1,1,575.0,40.7451199,-73.92019,2,0,66,29,1724,98,3,2,1553,70,1,10,9,179,Queens,11104,575.0,2–3 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,108.0,62.766447838413015
Multi-family home for sale,1250000.0,11,7,3600.0,40.64038,-74.0248548,2,0,40,1,488,54,1,0,871,40,0,2,3,75,Brooklyn,11220,2500.0,1–2 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,72.0,62.766447838413015
Co-op for sale,100000.0,1,1,750.0,40.8683459,-73.8626591,42,1,51,4,183,121,0,0,930,59,1,1,7,60,Bronx,10467,750.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,1–2 miles,0–1 miles,52.0,35.425132161737395
Townhouse for sale,6668000.0,3,6,6336.0,40.7437966,-73.9787373,21,3,137,41,3421,187,13,22,1564,144,1,48,26,223,Manhattan,10016,1852.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,850000.0,3,2,1220.0,40.8351793,-73.946467,33,0,69,4,511,202,4,1,985,75,0,13,10,94,Manhattan,10032,1220.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,33.0,69.5065204120069
Condo for sale,850000.0,3,2,1220.0,40.8351793,-73.946467,33,0,69,4,512,202,4,1,985,75,0,13,10,94,Manhattan,10032,1220.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,33.0,69.5065204120069
