Type of House,Property Value,bed,bath,Area (Sqft),Latitude,Longitude,Number_of_Parks_Nearby,Number_of_Malls_Nearby,Number_of_Metros_Nearby,Number_of_Clubs_Nearby,Number_of_Restaurants_Nearby,Number_of_Schools_Nearby,Number_of_Colleges_Nearby,Number_of_Universities_Nearby,Number_of_Buses_Nearby,Number_of_Trains_Nearby,Number_of_Airports_Nearby,Number_of_Museums_Nearby,Number_of_Libraries_Nearby,Number_of_Grocery_stores_Nearby,borough,Zip Code,total lot size(sqft),Distance_to_Nearest_Parks_miles_binned,Distance_to_Nearest_Malls_miles_binned,Distance_to_Nearest_Metros_miles_binned,Distance_to_Nearest_Clubs_miles_binned,Distance_to_Nearest_Restaurants_miles_binned,Distance_to_Nearest_Schools_miles_binned,Distance_to_Nearest_Colleges_miles_binned,Distance_to_Nearest_Universities_miles_binned,Distance_to_Nearest_Buses_miles_binned,Distance_to_Nearest_Trains_miles_binned,Distance_to_Nearest_Airports_miles_binned,Distance_to_Nearest_Museums_miles_binned,Distance_to_Nearest_Libraries_miles_binned,Distance_to_Nearest_Grocery_stores_miles_binned,Precinct,Safety_Score
House for sale,325000.0,2,1.5,684.0,40.8264828,-73.8275131,16,0,17,2,96,59,0,0,529,17,1,1,6,22,Bronx,10465,2500.0,0–1 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,1–2 miles,2–3 miles,1–2 miles,0–1 miles,45.0,62.766447838413015
Contingent,889999.0,6,3,2160.0,40.5570352,-74.1703907,4,0,8,0,106,13,0,0,278,8,0,1,1,10,Staten Island,10312,3800.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,2–3 miles,0–1 miles,123.0,85.32013501928847
House for sale,2500000.0,23,23,700.0,40.6401806,-73.9429395,19,0,63,4,418,136,2,0,1614,64,0,4,3,93,Brooklyn,11203,5250.0,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,67.0,45.17588226889556
Co-op for sale,6668000.0,5,5.5,2967.0,40.7748738,-73.9593405,15,2,102,22,2380,184,11,11,1531,108,1,25,22,194,Manhattan,10075,3657.5,1–2 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
House for sale,2996000.0,6,5,3040.0,40.7215637,-73.7822716,22,0,11,2,338,34,1,0,1420,22,0,1,3,79,Queens,11432,3040.0,0–1 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,103.0,45.17588226889556
Multi-family home for sale,968888.0,6,3.5,2720.0,40.6007056,-74.124688,4,0,4,1,171,18,0,1,577,4,0,4,1,25,Staten Island,10314,5440.0,1–2 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,122.0,69.5065204120069
Townhouse for sale,229999.0,3,1.5,1151.0,40.6123992,-74.0804239,1,0,8,1,186,14,1,1,598,8,0,8,0,22,Staten Island,10304,1340.0,2–3 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,120.0,55.3387983997714
House for sale,1400000.0,3,3,3048.0,40.7194242,-73.8627219,12,1,48,13,817,71,1,0,1475,52,0,2,3,132,Queens,11374,5548.0,1–2 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
House for sale,2300000.0,12,4.5+,3800.0,40.7152952,-73.7939094,20,0,16,7,407,38,1,0,1533,23,0,1,2,89,Queens,11432,3800.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,103.0,45.17588226889556
Co-op for sale,365000.0,1,1,700.0,40.7394199,-73.92039,5,0,70,36,1745,105,3,2,1632,73,1,8,9,197,Queens,11377,700.0,2–3 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,108.0,62.766447838413015
