Address line 1,Address line 2,Full Address,Latitude,Longitude,Number_of_Parks_Nearby,Distance_to_Nearest_Parks_miles,Number_of_Malls_Nearby,Distance_to_Nearest_Malls_miles,Number_of_Metros_Nearby,Distance_to_Nearest_Metros_miles,Number_of_Clubs_Nearby,Distance_to_Nearest_Clubs_miles,Number_of_Restaurants_Nearby,Distance_to_Nearest_Restaurants_miles,Number_of_Schools_Nearby,Distance_to_Nearest_Schools_miles,Number_of_Colleges_Nearby,Distance_to_Nearest_Colleges_miles,Number_of_Universities_Nearby,Distance_to_Nearest_Universities_miles,Number_of_Buses_Nearby,Distance_to_Nearest_Buses_miles,Number_of_Trains_Nearby,Distance_to_Nearest_Trains_miles,Number_of_Airports_Nearby,Distance_to_Nearest_Airports_miles,Number_of_Museums_Nearby,Distance_to_Nearest_Museums_miles,Number_of_Libraries_Nearby,Distance_to_Nearest_Libraries_miles,Number_of_Grocery_stores_Nearby,Distance_to_Nearest_Grocery_stores_miles,borough
625 E 234th St,"Bronx, NY 10466","625 E 234th St Bronx, NY 10466 ",40.8950907,-73.8594801,32,0.1795662416319828,0,inf,26,0.1604242923207827,0,inf,87,0.4370479134081209,103,0.2566861321142118,1,1.5739167862501184,0,inf,551,0.0584175475805691,37,0.1604242923207827,0,inf,0,inf,3,2.0692833784969635,34,0.1674134952996167,
736 W 187th St Apt 303,"Manhattan, NY 10033","736 W 187th St Apt 303 Manhattan, NY 10033 ",40.8544042,-73.9354054,39,0.982443906766424,1,1.922873952564863,59,0.2262417225740563,3,0.9173697313978154,275,0.0967879649694771,162,0.1958159175998272,3,1.5584485512190425,1,2.6543025840778,859,0.0929450936258273,68,0.2262417225740563,0,inf,11,0.7447663030767439,7,0.4027581743498026,64,0.0788881450608423,
1725 Purdy St Apt 7C,"Bronx, NY 10462","1725 Purdy St Apt 7C Bronx, NY 10462 ",40.84057,-73.8588591,39,0.2998171129548641,0,inf,49,0.5201598002422027,3,0.6553065736031953,147,0.2143096337306441,146,0.3978472676648292,0,inf,0,inf,1012,0.0845772841335676,53,0.5201598002422027,1,2.265513130513581,0,inf,4,0.525571613223648,47,0.2633964581526621,
323 W 80th St,"Manhattan, NY 10024","323 W 80th St Manhattan, NY 10024 ",40.7855828,-73.9816042,12,0.4977159690757968,2,1.1872270649896677,77,0.1457890595325318,11,1.1748327335251203,1864,0.1716899387157039,169,0.0530634892411008,10,1.0213344929243242,10,0.8141349074821981,1310,0.0589288144634777,84,0.1457890595325318,0,inf,22,0.4579101376063175,22,0.7969704314414641,142,0.281842074835075,
10701 Princeton St,"Jamaica, NY 11435","10701 Princeton St Jamaica, NY 11435 ",40.6919424,-73.8037383,15,0.5151920211436551,0,inf,25,0.6263488486245519,7,0.9403950208549552,349,0.1834615791447844,45,0.3461338469029106,1,2.141659813926202,0,inf,1404,0.0960795224687032,35,0.5411798190757211,0,inf,0,inf,2,0.8792280067628536,75,0.2937976078726687,
16 Tier St,"Bronx, NY 10464","16 Tier St Bronx, NY 10464 ",40.8475481,-73.7908865,8,0.5254628976423915,0,inf,5,1.9718236261713395,0,inf,33,0.2083041006301147,15,0.4839105850359656,0,inf,0,inf,228,0.2256400484746893,5,1.9718236261713395,1,1.331303139347639,2,1.8421608154276368,3,2.816001493846559,8,0.2167810205677359,
4662 Grosvenor Ave,"Bronx, NY 10471","4662 Grosvenor Ave Bronx, NY 10471 ",40.8952933,-73.9054624,32,0.3964649234729845,1,1.3055245358397622,32,0.5432951413857616,1,2.490125364571568,113,0.5238420991052432,98,0.1695837513501989,0,inf,0,inf,423,0.4139526407667996,45,0.5432951413857616,0,inf,2,2.1312221782664813,3,0.380123692312547,38,0.7122388461029289,
3176 Tierney Pl,"Bronx, NY 10465","3176 Tierney Pl Bronx, NY 10465 ",40.813524,-73.802218,13,0.7321866582895856,0,inf,6,2.7533381074210204,0,inf,56,1.4795601400751923,34,1.0690175650536708,0,inf,0,inf,360,0.2255499455446864,6,2.7533381074210204,1,2.3512938058882957,1,0.8219444483889521,5,0.7743362399680481,6,2.47005848279586,
40 Broad St Apt 24E,"New York, NY 10004","40 Broad St Apt 24E New York, NY 10004 ",40.7060214,-74.0117866,17,0.4431106123992229,1,2.512317437540621,106,0.0500233330209794,31,1.4880395964545683,2363,0.0258954646815032,159,0.0337013323093834,9,0.053624632317793,14,1.7754404754412525,1064,0.0827078986292438,117,0.0500233330209794,1,2.865041761406224,38,0.1381563975101513,16,0.1594710149880017,159,0.0738054097611177,
50-17 40th St,"Queens, NY 11104","50-17 40th St Queens, NY 11104 ",40.7374479,-73.9252988,9,2.028809621725701,0,inf,78,0.4436370343625704,38,0.8564973274989922,1912,0.1263471356369114,137,0.156744618692265,4,1.5288760933587684,2,2.4422460632562037,1720,0.1190801687545495,82,0.4436370343625704,1,2.503491561973896,10,1.2953682827316666,12,0.6453031454059127,201,0.2370308117578366,
5311 Beverley Rd,"Brooklyn, NY 11203","5311 Beverley Rd Brooklyn, NY 11203 ",40.6467464,-73.926462,24,0.7727679699964703,0,inf,63,1.1481882417454925,5,0.6917416678141689,281,0.3054214664314962,110,0.2237673193019357,1,2.5021205807768743,0,inf,1604,0.0937920264412701,65,1.1481882417454925,0,inf,4,1.6418294102395727,4,1.8993674811901915,72,0.5237668615079688,
323 E 235th St,"Bronx, NY 10470","323 E 235th St Bronx, NY 10470 ",40.8978696,-73.8662827,34,0.2249922506380256,1,2.980260158888776,27,0.5586824884747484,0,inf,89,0.0414439380711283,103,0.10317641656675,1,1.7447973595775397,0,inf,563,0.0867936356147172,39,0.2481278738223684,0,inf,0,inf,3,1.7412383803711755,35,0.0656497914854003,
24607 87th Ave,"Bellerose, NY 11426","24607 87th Ave Bellerose, NY 11426 ",40.7303157,-73.7214015,11,0.2550353525958355,0,inf,0,inf,2,0.7842505294961388,173,0.3363280145517222,24,0.9358112985628088,0,inf,0,inf,734,0.2734050870178914,9,0.6152148554250348,0,inf,0,inf,3,1.7639411420221576,31,0.3793859648306123,
205 Noel St,"Staten Island, NY 10312","205 Noel St Staten Island, NY 10312 ",40.5306728,-74.1679997,1,2.507084511807048,0,inf,7,0.8572318475619871,0,inf,88,0.31090812375422,2,2.28628818180856,0,inf,0,inf,196,0.2418240385872042,7,0.8572318475619871,0,inf,1,2.6504658648028885,0,inf,8,1.020250606804195,
